ct_pma_id,nct_id,pma_number,supplement_number
85980,NCT01092416,P130005,NULL
85981,NCT00737672,P130006,NULL
85982,NCT01161420,P130008,NULL
85983,NCT00676689,P130009,S037
85984,NCT01314313,P130009,S034
85985,NCT01314313,P130009,NULL
85986,NCT00876525,P130011,NULL
85987,NCT01115907,P130011,NULL
85988,NCT00129545,P130013,NULL
85989,NCT00851578,P130013,NULL
85990,NCT01182441,P130013,NULL
85991,NCT01196897,P130013,NULL
85992,NCT01760291,P130013,NULL
85993,NCT01158378,P130014,NULL
85994,NCT00678899,P130016,S005
85995,NCT00678899,P130016,NULL
85996,NCT01260168,P130017,NULL
85997,NCT01397747,P130017,NULL
85998,NCT01600209,P130017,NULL
85999,NCT00277095,P130018,NULL
86000,NCT01327976,P130019,NULL
86001,NCT00535184,P130020,NULL
86002,NCT00535327,P130020,NULL
86003,NCT00535678,P130020,NULL
86004,NCT01240902,P130021,S002
86005,NCT01240902,P130021,S016
86006,NCT01240902,P130021,NULL
86007,NCT01531374,P130021,S010
86008,NCT02207569,P130021,S014
86009,NCT01609972,P130022,NULL
86010,NCT01526954,P130023,NULL
86011,NCT01791504,P130023,NULL
86012,NCT00930813,P130024,NULL
86013,NCT01412541,P130024,NULL
86014,NCT01628159,P130024,NULL
86015,NCT01790243,P130024,NULL
86016,NCT00972413,P130025,NULL
86017,NCT01090687,P130025,NULL
86018,NCT01107860,P130025,NULL
86019,NCT01880580,P130025,NULL
86020,NCT01278953,P130026,NULL
86021,NCT01034709,P130027,NULL
86022,NCT01257438,P130029,NULL
86023,NCT01419171,P130030,NULL
86024,NCT01703000,P130030,NULL
86025,NCT01118117,P140002,NULL
86026,NCT00417378,P140003,S004
86027,NCT00417378,P140003,S005
86028,NCT00534859,P140003,NULL
86029,NCT00562016,P140003,S004
86030,NCT00562016,P140003,S005
86031,NCT00562016,P140003,NULL
86032,NCT00596726,P140003,S004
86033,NCT00596726,P140003,S005
86034,NCT00692276,P140004,S001
86035,NCT00692276,P140004,NULL
86036,NCT00669032,P140005,NULL
86037,NCT01090739,P140006,NULL
86038,NCT00456378,P140007,NULL
86039,NCT00730327,P140008,NULL
86040,NCT00552474,P140009,NULL
86041,NCT02087046,P140009,NULL
86042,NCT01566461,P140010,NULL
86043,NCT01373671,P140011,NULL
86044,NCT01061385,P140012,NULL
86045,NCT01673698,P140012,NULL
86046,NCT01569763,P140013,NULL
86047,NCT02023801,P140013,NULL
86048,NCT02029911,P140013,NULL
86049,NCT02035332,P140013,NULL
86050,NCT00287235,P140014,NULL
86051,NCT01151020undefined,P140016,NULL
86052,NCT01688050,P140016,NULL
86053,NCT01807585,P140018,NULL
86054,NCT00310440,P140019,NULL
86055,NCT00753545,P140020,NULL
86056,NCT01078662,P140020,NULL
86057,NCT00758095,P140024,NULL
86058,NCT00585195,P140025,NULL
86059,NCT01154140,P140025,NULL
86060,NCT01639001,P140025,NULL
86061,NCT01685567,P140026,NULL
86062,NCT00855712,P140027,NULL
86063,NCT01292928,P140028,NULL
86064,NCT01205048,P140029,NULL
86065,NCT01205061,P140029,NULL
86066,NCT01319812,P140030,NULL
86067,NCT01661231,P140030,NULL
86068,NCT01314313,P140031,NULL
86069,NCT01321073,P140032,NULL
86070,NCT01576016,P140033,NULL
86071,NCT01664078,P150002,NULL
86072,NCT01665053,P150003,NULL
86073,NCT01703000,P150003,NULL
86074,NCT01787799,P150003,NULL
86075,NCT01923285,P150004,NULL
86076,NCT01253200,P150005,NULL
86077,NCT01600482,P150006,NULL
86078,NCT00781118,P150009,NULL
86079,NCT01372475,P150010,NULL
86080,NCT01368666,P150011,NULL
86081,NCT00907361,P150012,NULL
86082,NCT01688843,P150012,NULL
86083,NCT01781078,P150012,NULL
86084,NCT01890512,P150012,NULL
86085,NCT02166606,P150012,NULL
86086,NCT01295827,P150013,S001
86087,NCT01295827,P150013,NULL
86088,NCT01704287,P150013,S001
86089,NCT01840579,P150013,S001
86090,NCT01905657,P150013,S001
86091,NCT02039674,P150013,S001
86092,NCT01959503,P150016,NULL
86093,NCT00969969,P150017,NULL
86094,NCT01464346,P150019,NULL
86095,NCT01185470,P150020,NULL
86096,NCT02082184,P150021,NULL
86097,NCT02232698,P150021,NULL
86098,NCT02283411,P150021,NULL
